"",i_max,width,treatment,mouse,vessel_type,vessel,region_in_vessel,profile,repetition,y_bin_width,depth,rbc_flow,source,ln_i_max,ln_width,ln_i_max_stnd
92,189.5467708761817,0.8354851201030726,E,E-20230523,pa,E-20230523-1,1,4,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc,5.24463580608092,-0.1797427406767081,0.17357885853665178
93,193.20204853969477,0.8169839220867612,E,E-20230523,pa,E-20230523-1,1,5,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc,5.263736524929734,-0.20213586352414298,0.2059805339393087
94,188.82177293294856,0.8030743418384239,E,E-20230523,pa,E-20230523-1,1,6,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc,5.2408035698003195,-0.21930798919808026,0.16707801021711272
95,182.45965857671655,0.7040681568241034,E,E-20230523,pa,E-20230523-1,1,7,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc,5.2065290996929345,-0.3508801138396342,0.10893620603645476
96,147.60269664975485,0.6347850650565814,E,E-20230523,pa,E-20230523-1,2,0,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc,4.994524181984267,-0.45446881761266283,-0.2507002339182496
97,132.34953105717744,0.5896271972465392,E,E-20230523,pa,E-20230523-1,2,1,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc,4.885446385464547,-0.5282648108694303,-0.4357353304737093
98,135.17036199094963,0.7172179945292845,E,E-20230523,pa,E-20230523-1,2,2,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc,4.906535923534243,-0.33237544759200266,-0.39995990378244267
99,121.45957219251284,0.7133012729965973,E,E-20230523,pa,E-20230523-1,2,3,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc,4.799581468254375,-0.33785140504167277,-0.5813930514182146
100,133.38245989304752,0.6008422871022168,E,E-20230523,pa,E-20230523-1,2,4,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc,4.893220639776992,-0.5094227963516113,-0.4225474045781786
101,143.94083916083855,0.726823073338112,E,E-20230523,pa,E-20230523-1,2,5,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc,4.969402375997627,-0.31907219648891677,-0.2933158343859857
102,149.8735870012334,0.7556127800598631,E,E-20230523,pa,E-20230523-1,2,6,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc,5.009792185454918,-0.280226229707635,-0.22480021955657067
103,110.47991772932905,0.5863196989372135,E,E-20230523,pa,E-20230523-1,2,7,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc,4.704833764435019,-0.5338900768432977,-0.7421191669430466
984,218.09274291992188,0.7264198776977864,E,E-20230523,pa,E-20230523-1,3,6,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi3_rep1_PRE.nc,5.384920398559178,-0.3196270873973966,0.4115518827695444
985,270.7685241699219,0.5511662662131194,E,E-20230523,pa,E-20230523-1,3,7,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi3_rep1_PRE.nc,5.601264301527481,-0.5957187617848422,0.778548799210627
986,233.7071990966797,0.6652828949379881,E,E-20230523,pa,E-20230523-1,3,8,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi3_rep1_PRE.nc,5.454069045934193,-0.4075429228639417,0.5288528097405273
987,231.945556640625,0.6338402628518267,E,E-20230523,pa,E-20230523-1,3,9,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi3_rep1_PRE.nc,5.4465026744746,-0.45595830762779443,0.5160175277833319
988,224.718017578125,0.77889987874509,E,E-20230523,pa,E-20230523-1,3,10,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi3_rep1_PRE.nc,5.4148463610150195,-0.24987276673080014,0.4623170570690698
